year,month,day,maxwind
2021,3,4,1.808333333
2021,3,5,2.108333333
2021,3,6,2.833333333
2021,3,7,1.1
2021,3,8,2.391666667
2021,3,9,2.608333333
2021,3,10,3.825
2021,3,11,2.240082866
2021,3,12,1.044199714
2021,3,13,1.316666667
2021,3,14,1.441666667
2021,3,15,2.6
2021,3,16,0.741666667
2021,3,17,1.833333333
2021,3,18,3.283333333
2021,3,19,1.716666667
2021,3,20,1.3
2021,3,21,2.158333333
2021,3,22,2.1
2021,3,23,1.983333333
2021,3,24,3.158333333
2021,3,25,1.158333333
2021,3,26,1.883333333
2021,3,27,2.308333333
2021,3,28,3.05
2021,3,29,2.841666667
2021,3,30,3.141666667
2021,3,31,3.216666667
2021,4,1,2.633333333
2021,4,2,1.583333333
2021,4,3,2.341666667
2021,4,4,1.233333333
2021,4,5,1.25
2021,4,6,1.858333333
2021,4,7,2.35
2021,4,8,2.108333333
2021,4,9,2.541666667
2021,4,10,0.833333333
2021,4,11,0.983333333
2021,4,12,1.95
2021,4,13,1.783333333
2021,4,14,2.433333333
2021,4,15,2.05
2021,4,16,2.083333333
2021,4,17,2.416666667
2021,4,18,1.025
2021,4,19,1.95
2021,4,20,0.575
2021,4,21,2.066666667
2021,4,22,2.175
2021,4,23,1.758333333
2021,4,24,0.1
2021,4,25,2.05
2021,4,26,2.366666667
2021,4,27,1.916666667
2021,4,28,1.1
2021,4,29,1.175
2021,4,30,2.4
2021,5,1,3.058333333
2021,5,2,2.516666667
2021,5,3,1.641666667
2021,5,4,1.166666667
2021,5,5,2.2
2021,5,6,0.45
2021,5,7,1.8
2021,5,8,0.808333333
2021,5,9,0.908333333
2021,5,10,0.65
2021,5,11,1.525
2021,5,12,1.491666667
2021,5,13,0.775
2021,5,14,0.9
2021,5,15,1.341666667
2021,5,16,0.966666667
2021,5,17,1.2
2021,5,18,1.483333333
2021,5,19,2.116666667
2021,5,20,1.608333333
2021,5,21,1.725
2021,5,22,0.758333333
2021,5,23,0.966666667
2021,5,24,0.941666667
2021,5,25,2.333333333
2021,5,26,1.375
2021,5,27,0.708333333
2021,5,28,1.183333333
2021,5,29,1.25
