Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,382.109985,385.869995,379.600006,383.250000,371.890411,70426200
2022-07-07,385.119995,389.829987,383.269989,388.989990,377.460266,64525900
2022-07-08,387.269989,390.640015,385.660004,388.670013,377.149780,72397800
2022-07-11,385.850006,386.869995,383.500000,384.230011,372.841370,58366900
2022-07-12,383.649994,386.160004,378.989990,380.829987,369.542145,62219200
2022-07-13,375.100006,381.920013,374.660004,378.829987,367.601379,84224600
2022-07-14,373.609985,379.049988,371.040009,377.910004,366.708649,89704800
2022-07-15,382.549988,385.250000,380.540009,385.130005,373.714691,79060400
2022-07-18,388.380005,389.089996,380.660004,381.950012,370.628906,63203600
2022-07-19,386.079987,392.869995,385.390015,392.269989,380.643036,78506000
2022-07-20,392.470001,396.260010,391.029999,394.769989,383.068909,71843800
2022-07-21,394.160004,398.839996,391.630005,398.790009,386.969788,64903900
2022-07-22,398.920013,400.179993,392.750000,395.089996,383.379395,72197300
2022-07-25,395.750000,396.470001,393.209991,395.570007,383.845215,53631500
2022-07-26,393.839996,394.059998,389.950012,390.890015,379.303955,52946400
2022-07-27,394.359985,402.880005,394.049988,401.040009,389.153076,82342100
2022-07-28,401.890015,406.799988,398.149994,406.070007,394.034058,73966600
2022-07-29,407.579987,413.029999,406.769989,411.989990,399.778503,87003700
2022-08-01,409.149994,413.410004,408.399994,410.769989,398.594666,69997500
2022-08-02,409.119995,413.000000,406.820007,408.059998,395.965027,63435400
2022-08-03,410.299988,415.679993,410.000000,414.450012,402.165649,67820600
2022-08-04,414.369995,415.089996,412.440002,414.170013,401.893921,45656600
2022-08-05,409.660004,414.149994,409.600006,413.470001,401.214691,56814900
2022-08-08,415.250000,417.619995,411.829987,412.989990,400.748871,53886100
2022-08-09,412.220001,412.750000,410.220001,411.350006,399.157501,44931800
2022-08-10,418.779999,420.140015,416.720001,419.989990,407.541351,68665700
2022-08-11,422.989990,424.950012,419.209991,419.989990,407.541351,59489700
2022-08-12,422.029999,427.209991,421.029999,427.100006,414.440674,61694500
2022-08-15,424.769989,429.410004,424.709991,428.859985,416.148529,54048300
2022-08-16,427.730011,431.730011,426.880005,429.700012,416.963593,59289000
2022-08-17,425.910004,429.500000,424.540009,426.649994,414.003998,63563400
2022-08-18,426.859985,428.609985,425.500000,427.890015,415.207306,49023200
2022-08-19,424.980011,425.260010,421.220001,422.140015,409.627655,68016900
2022-08-22,417.049988,417.230011,412.399994,413.350006,401.098206,77695600
2022-08-23,412.899994,415.420013,411.769989,412.350006,400.127838,49105200
2022-08-24,412.109985,415.109985,411.390015,413.670013,401.408783,49177800
2022-08-25,415.239990,419.559998,414.089996,419.510010,407.075653,50942300
2022-08-26,419.390015,419.959991,405.250000,405.309998,393.296509,103087000
2022-08-29,402.200012,405.839996,401.200012,402.630005,390.695984,65370800
2022-08-30,403.850006,404.100006,396.000000,398.209991,386.406952,85652400
2022-08-31,399.929993,401.239990,395.040009,395.179993,383.466797,76029700
2022-09-01,392.890015,396.779999,390.040009,396.420013,384.670013,78740100
2022-09-02,400.279999,401.559998,390.329987,392.239990,380.613983,99632100
2022-09-06,393.130005,394.119995,388.420013,390.760010,379.177765,76637400
2022-09-07,390.429993,398.589996,390.200012,397.779999,385.989746,70964200
2022-09-08,395.390015,400.859985,394.119995,400.380005,388.512634,80821700
2022-09-09,402.739990,407.510010,402.459991,406.600006,394.548309,76706900
2022-09-12,408.779999,411.730011,408.459991,410.970001,398.788727,69256300
2022-09-13,401.829987,403.100006,391.920013,393.100006,381.448425,122947100
2022-09-14,394.470001,396.200012,391.119995,394.600006,382.903992,85023700
2022-09-15,392.959991,395.959991,388.779999,390.119995,378.556763,87633800
2022-09-16,384.140015,386.250000,382.109985,385.559998,375.668793,103084800
2022-09-19,382.260010,388.549988,382.179993,388.549988,378.582092,73278500
2022-09-20,385.059998,386.119995,381.200012,384.089996,374.236511,77274900
2022-09-21,386.109985,389.309998,377.380005,377.390015,367.708405,106746600
2022-09-22,376.579987,378.299988,373.440002,374.220001,364.619720,89472600
2022-09-23,370.579987,370.619995,363.290009,367.950012,358.510559,122346900
2022-09-26,366.410004,370.209991,363.029999,364.309998,354.963928,92581200
2022-09-27,368.019989,370.399994,360.869995,363.380005,354.057831,108294100
2022-09-28,364.380005,372.299988,362.600006,370.529999,361.024353,110802200
2022-09-29,366.809998,367.109985,359.700012,362.790009,353.482941,112952300
2022-09-30,361.799988,365.910004,357.040009,357.179993,348.016846,153711200
2022-10-03,361.079987,368.549988,359.209991,366.609985,357.204956,89756500
2022-10-04,372.399994,378.000000,366.570007,377.970001,368.273499,103602800
2022-10-05,373.390015,379.459991,370.950012,377.089996,367.416107,88065700
2022-10-06,375.619995,378.720001,372.679993,373.200012,363.625916,82333500
2022-10-07,368.970001,373.290009,360.940002,362.790009,353.482941,107789500
2022-10-10,363.959991,364.209991,357.670013,360.019989,350.784027,76042800
2022-10-11,358.239990,363.029999,355.709991,357.739990,348.562469,92482800
2022-10-12,358.170013,359.820007,356.299988,356.559998,347.412750,76991800
2022-10-13,349.209991,367.510010,348.109985,365.970001,356.581329,147254500
2022-10-14,368.549988,370.260010,356.959991,357.630005,348.455322,123737000
2022-10-17,364.010010,367.980011,357.279999,366.820007,357.409576,93168200
2022-10-18,375.130005,375.450012,367.519989,371.130005,361.608978,97162900
2022-10-19,368.989990,371.850006,365.549988,368.500000,359.046478,79746900
2022-10-20,368.029999,372.670013,364.609985,365.410004,356.035767,88283100
2022-10-21,365.119995,374.799988,363.540009,374.290009,364.687897,131038400
2022-10-24,375.890015,380.059998,373.109985,378.869995,369.150452,85436900
2022-10-25,378.790009,385.250000,378.670013,384.920013,375.045227,78846300
2022-10-26,381.619995,387.579987,381.350006,382.019989,372.219635,104087300
2022-10-27,383.070007,385.000000,379.329987,379.980011,370.231964,81971800
2022-10-28,379.869995,389.519989,379.679993,389.019989,379.040039,100302000
2022-10-31,386.440002,388.399994,385.260010,386.209991,376.302094,96631300
2022-11-01,390.140015,390.390015,383.290009,384.519989,374.655457,85407600
2022-11-02,383.899994,388.630005,374.760010,374.869995,365.252991,126990400
2022-11-03,371.470001,374.200012,368.790009,371.010010,361.492096,87100100
2022-11-04,377.000000,378.869995,370.000000,376.350006,366.695068,103505200
2022-11-07,377.709991,380.570007,375.529999,379.950012,370.202698,68286900
